"Linear Search Sorted","Linear Search Unsorted","Binary Search Sorted"
71630,2292985,4317
451
50612,2047859,1112
144
32316,2084279,963
152
31168,574461,1059
117
29333,902271,810
103
30438,334305,844
93
66771,306339,852
100
41373,299293,908
92
38733,312946,938
98
33267,301951,816
93
41198,304327,811
96
37338,312253,936
132
44360,298890,791
108
39943,315635,938
103
48277,320610,807
100
51698,414538,898
98
49310,507497,1194
122
36455,501411,880
108
41958,544220,907
100
35204,127970,818
97
36016,122147,730
95
36644,116515,815
100
31520,115979,776
92
24342,122266,1055
112
24085,125680,802
103
24259,119349,835
93
45501,142181,761
93
32728,123727,810
88
24507,117408,833
91
24130,127442,922
89
24176,138897,911
94
24111,123798,910
95
24040,122999,864
94
31449,138561,939
92
24187,127273,1120
122
23999,120581,817
111
23942,121799,939
103
24061,130552,973
99
24078,125922,950
107
23961,105093,849
106
24107,94271,933
99
26767,126772,814
94
27658,125682,2660
92
28039,134153,1475
90
30481,124994,1112
98
31256,146387,1039
91
27053,127779,1200
106
24103,122591,1002
93
24104,109064,966
95
24153,117965,937
93
24025,121496,1141
141
24178,170064,949
129
23940,137437,3093
101
23932,149979,1727
90
23942,120437,1158
94
23931,133338,1069
96
23918,128102,1040
103
23922,114648,1083
93
23925,106980,1060
95
23930,105839,1751
95
23941,56279,4553
94
23901,40078,1407
95
23939,40644,1113
125
23934,43964,1009
96
38402,47283,1103
93
24168,43305,988
89
24063,44236,975
94
23977,40538,990
104
23973,46070,973
108
24110,44396,966
234
24103,45103,963
125
23954,61841,942
123
23944,42751,951
105
23953,45904,971
101
24079,44010,1040
111
23939,39877,1140
105
23961,44470,1300
133
23923,45349,866
222
23931,39863,867
103
23907,35571,904
94
23951,43866,873
93
23905,59820,921
98
23933,39950,914
98
23911,42833,754
106
23955,43025,818
91
23903,38949,895
90
23923,40585,899
91
23915,37876,825
216
23961,42696,886
92
23923,40277,966
90
23934,42354,901
97
23900,44213,871
102
23934,43109,854
103
23930,54903,889
95
23935,36916,851
96
23904,50584,810
97
23949,44349,848
99
23939,41758,900
99
23930,37848,916
94
24076,37739,801
93
23912,40399,862
167
23940,39224,879
109
23914,37503,924
100
23931,36973,859
94
35072,119189,879
93
24219,39807,1027
90
24118,43026,903
94
24095,34469,905
94
24022,39377,932
121
23936,40371,953
97
24068,40438,1002
137
23917,38620,939
132
23952,41637,890
129
23942,39560,886
113
23943,41411,888
102
23923,43857,835
156
23944,94672,867
105
26326,37343,834
91
30224,38908,848
96
32229,39629,849
92
30070,41763,2164
91
30441,42445,955
89
28905,43361,840
94
30396,39558,915
95
25237,43711,821
91
30491,51154,812
106
29452,40311,882
191
29741,41480,1962
28864
29479,43451,949
289
29663,41377,904
147
26558,43878,902
152
30010,41882,870
109
32990,66595,814
198
29896,124829,886
93
24969,38982,794
94
30034,45025,817
96
26976,44201,912
103
117432,47635,871
101
70705,43579,890
100
32335,51499,864
124
42872,52403,857
100
57771,48394,949
133
153875,56768,899
116
110331,48208,851
118
80866,51306,2903
96
30646,50342,893
100
30150,55882,947
114
30508,51892,885
108
24121,52083,892
121
24038,54571,930
105
24036,82946,912
96
23934,68317,856
113
23960,53317,880
119
23921,119500,886
113
23934,66934,864
117
23930,74401,882
133
23941,61384,850
130
23890,66187,914
128
23939,61077,822
141
23930,55224,879
125
23927,55085,824
135
44912,51839,865
127
106091,53902,887
133
45957,54844,864
131
36392,51678,1049
177
36258,68296,920
155
31364,62529,867
164
29947,56748,823
137
31273,58325,843
126
29761,53418,902
125
33966,49146,894
120
39451,47412,867
118
35695,89209,882
129
35686,49835,833
124
30458,54514,827
133
33828,47087,882
130
34489,50949,886
128
32807,46587,815
169
54639,47188,894
126
36719,50784,887
98
34862,49043,33223
100
66750,52755,1872
99
46380,45947,992
101
130474,66127,969
94
49324,53924,853
107
50122,47858,848
101
57186,50636,912
98
45468,44988,1501
108
45859,50392,859
133
44846,49590,843
94
48436,45604,893
100
50323,81511,866
94
105960,60169,884
94
48056,49404,850
196
201750,47374,870
140
56227,55839,811
122
40281,47108,892
104
34522,44075,897
128
35420,28424,1103
111
38099,24936,1084
112
38172,24928,852
177
38211,24705,871
99
41085,25650,889
151
37136,24556,835
98
42539,25124,879
97
44880,39049,921
97
41527,28705,910
110
37442,25565,884
95
37915,24939,887
124
51489,24664,888
105
37516,26097,865
96
46013,24945,896
96
54800,25117,886
106
52625,25728,861
104
47487,26106,868
111
46897,32225,874
92
45932,35580,841
120
47030,33280,885
129
45835,25680,1325
113
42784,24846,878
108
41432,25052,848
96
48335,25058,1138
97
48247,37150,868
126
51382,33326,862
121
79056,35707,860
103
51577,81987,915
98
47239,44498,946
118
50241,38305,866
129
65785,43490,898
127
54289,42496,857
181
56321,43326,858
97
55117,60378,826
99
47786,43342,893
92
45772,44525,836
94
49759,44545,896
95
39690,48648,884
97
35421,48658,805
97
45099,51804,896
97
56303,52109,994
104
32091,50241,937
148
27903,51615,3549
95
28771,51328,1019
321
30453,52009,958
93
31562,55349,860
95
29561,55053,842
100
33549,51391,1096
120
30056,50202,976
116
31732,51326,834
111
32206,52241,857
134
29974,50995,870
112
42107,65175,844
146
64002,53754,823
95
47821,51713,820
96
36600,50982,1043
94
37582,52456,942
139
36447,83875,2307
980
34516,59806,1093
102
32618,55224,889
100
34348,50295,856
101
36692,50571,881
97
43178,52176,913
99
40778,52482,833
94
49504,47957,901
93
36315,55272,842
90
45145,77088,886
94
41005,51168,771
